delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours
250.99,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,1970-01-01 00:00:00.000000008
250.99,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,1970-01-01 00:00:00.000000002
250.99,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,1970-01-01 00:00:00.000000010
250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,1970-01-01 00:00:00.000000006
250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,1970-01-01 00:00:00.000000009
250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,1970-01-01 00:00:00.000000004
250.99,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,1970-01-01 00:00:00.000000006
250.99,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,1970-01-01 00:00:00.000000004
250.99,blue dart,clothing,van,same day,south,hot,142.4,14.06,1970-01-01 00:00:00.000000005
250.99,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,1970-01-01 00:00:00.000000003
250.99,fedex,groceries,scooter,same day,east,cold,293.2,22.05,1970-01-01 00:00:00.000000005
250.99,ecom express,electronics,truck,two day,east,cold,80.4,46.48,1970-01-01 00:00:00.000000003
250.99,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,1970-01-01 00:00:00.000000008
250.99,xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,1970-01-01 00:00:00.000000006
250.99,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,1970-01-01 00:00:00.000000012
250.99,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,1970-01-01 00:00:00.000000008
250.99,fedex,documents,bike,standard,west,stormy,79.0,0.73,1970-01-01 00:00:00.000000010
250.99,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,1970-01-01 00:00:00.000000011
250.99,amazon logistics,documents,van,same day,north,rainy,90.0,33.7,1970-01-01 00:00:00.000000004
250.99,fedex,cosmetics,truck,express,north,rainy,64.0,6.03,1970-01-01 00:00:00.000000007
250.99,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,1970-01-01 00:00:00.000000006
250.99,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,1970-01-01 00:00:00.000000009
250.99,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,1970-01-01 00:00:00.000000006
250.99,ecom express,clothing,bike,standard,central,clear,251.7,34.9,1970-01-01 00:00:00.000000008
250.99,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,1970-01-01 00:00:00.000000007
250.99,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,1970-01-01 00:00:00.000000006
250.99,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,1970-01-01 00:00:00.000000009
250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,1970-01-01 00:00:00.000000008
250.99,fedex,furniture,truck,express,south,hot,136.1,48.1,1970-01-01 00:00:00.000000003
250.99,dhl,furniture,bike,two day,east,rainy,291.4,6.12,1970-01-01 00:00:00.000000013
250.99,fedex,furniture,bike,standard,south,hot,295.0,19.68,1970-01-01 00:00:00.000000009
250.99,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,1970-01-01 00:00:00.000000010
250.99,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,1970-01-01 00:00:00.000000010
250.99,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,1970-01-01 00:00:00.000000008
250.99,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,1970-01-01 00:00:00.000000005
250.99,delhivery,documents,bike,same day,east,clear,37.6,22.81,1970-01-01 00:00:00.000000003
250.99,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,1970-01-01 00:00:00.000000005
250.99,amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,1970-01-01 00:00:00.000000005
250.99,ekart,documents,bike,standard,east,rainy,62.2,48.58,1970-01-01 00:00:00.000000007
